Product_ID,Product Name,Company,Listing Price,Sale Price,Rating,Discount %,value,Description
AT6175-100,Nike Air Max 200,Nike,100,60,4.6,40,22.0,"Inspired by patterns of energy radiating from Earth—like the flow of lava and the rhythmic ocean waves—the Nike Air Max 200 boasts the largest Max Air unit to date. With exceptional cushioning and modern detailing, this shoe radiates cool while providing optimal comfort."
AH6789-023,Nike Air Max 270,Nike,140,140,3.9,0,36.0,The Nike Air Max 270 is inspired by two icons of big Air: Air Max 180 and Air Max 93. It features Nike's biggest heel Air unit yet for a soft ride that feels as remarkable as it looks.
AT7996-414,Nike Mercurial Vapor 13 Academy TF,Nike,75,52,3.561158724717176,30,21.0,"The soft upper of the Nike Mercurial Vapor 13 Academy TF Shoe wraps your foot for a second-skin fit, while the rubber outsole helps super-charge traction on turf."
922474-001,Nike SFB Gen 2 20cm (approx.),Nike,140,140,3.8,0,37.0,"Made from durable nylon canvas and synthetic leather, the Nike SFB Gen 2 20cm (approx.) is a lightweight tactical boot designed for speed and flexibility over rough terrain. Inspired by Nike Free technology, the flexible sole is equipped with an aggressive traction pattern for multi-surface grip and an internal rock shield to help prevent punctures."
CI3898-200,Nike Air Max Dia,Nike,90,90,5.0,0,18.0,"Designed specifically for a woman's foot, the Nike Air Max Dia delivers a lifted look, an airy aesthetic and a sleek shape. The minimal upper modernises the look, while the Max Air unit, surrounded by clear TPU, is amplified even further by an exaggerated midsole for a boost of style."
CJ0882-001,Nike SB Alleyoop,Nike,65,65,3.561158724717176,0,18.0,"The Nike SB Alleyoop delivers comfort that lasts in a low-top silhouette. Soft suede and plush foam hug and support your foot, long after the sun goes down."
BQ5467-101,Nike Zoom Rise,Nike,120,84,4.0,30,30.0,"Bounce like never before in the Zoom Rise, Nike Basketball's artfully crafted creation for the upwardly mobile. This mid-top provides containment and support up through the ankle, while an extra-large Nike Zoom Air unit under the ball of your foot redefines how responsive a shoe can be."
AO3267-080,Nike Phantom Vision Academy Dynamic Fit IC,Nike,85,68,3.561158724717176,20,24.0,"The Nike Phantom Vision Academy Dynamic Fit IC provides precise touch to win small-sided glory, wherever the game finds you. A Ghost Laces system provides secure lockdown while a textured instep is always ready to receive, turn and score."
AQ7492-010,Nike Air Max Bella TR 2,Nike,65,65,4.3,0,15.0,The Nike Air Max Bella TR 2 is a versatile trainer for weight training and station workouts. It's crafted from breathable fabric and features comfortable cushioning underfoot with a flat outsole for stability during workout sessions.
CJ0220-400,Nike Air Zoom Terra Kiger 6,Nike,110,110,5.0,0,22.0,"The Nike Air Zoom Terra Kiger 6 is built to take on wet and rocky trails. Lightweight in design, it features a sleeker look with a woven heel for a secure fit and feel."
CQ6566-700,Nike Air Force 1 SP,Nike,130,130,4.7,0,28.0,The Nike Air Force 1 SP adds a shiny metallic finish to the details that made the original an icon.
AJ4115-060,Nike Zoom Pegasus Turbo,Nike,160,160,3.6,0,44.0,"The Nike Zoom Pegasus Turbo is the Pegasus you know and love with major upgrades for speed. The featherlight upper looks as fast as it feels, while the revolutionary Nike ZoomX foam that was designed for elite Nike runners during the Breaking 2 attempt brings record-breaking speed and responsiveness to your daily training runs."
AQ1316-500,Nike Free RN 5.0,Nike,80,48,4.2,40,19.0,"An ideal performer for runs of up to 3 miles, the Nike Free RN 5.0 returns to its roots as a running shoe. A stripped-down upper with single-layer mesh is stretchy to feel like a second skin. The lightweight midsole with less foam makes it easy to hit the ground running."
BV5740-101,Nike Air Zoom Pegasus 36,Nike,110,66,3.561158724717176,40,31.0,"The iconic Nike Air Zoom Pegasus 36 returns with more perforations for more cooling. An engineered mesh and synthetic upper strategically targets breathability across high-heat areas. A slimmer heel collar and tongue reduce bulk without compromising comfort, while exposed Flywire cables give you a snug fit at higher speeds."
CJ9681-001,Nike Air Max Tailwind IV SE,Nike,150,105,3.561158724717176,30,42.0,"Replicating the archival model from '99, the Nike Air Max Tailwind IV SE puts a new spin on a classic with modern detailing. Lightweight cushioning units give you comfort and style that lasts."
